Reviews,Ratings
Good product.Worth product,5
Awesome.Nice app always give best product,5
Nice Sound ..... Paisa vasool item.Good quality,5
Excellent Product.At present its is good working good..,5
Nice ok i like good product.Nice product Intex good experience this electronic items,5
Excellent Product.Awesm product.. And in time delevry.... 👍👍👍,5
"Intex Bluetooth ""Made In India"" Good Speaker.Very Good Intex Speaker, Proud to buy this ""Made in India"" product from Intex. Snapdeal service was very quick but delivery by Bluedart was delayed due to Diwali.
Sound quality good.
Bass really very good in such a small set.
FM reception need an external antenna.
Tried USB, Bluetooth (works with all new phones), AUX and all works fine.
But at last Design & Sound matters, and for that I will rate  4/5 in both.
Request other Indian sound system company to make such good quality products in India.",5
"Nice Product.Nice look, nice sound...",4
"Nice Product.The speakers are good. Sound is really good as per my expectations. At this price the product serves best you cannot simply compare it to that of sony and philips speakers of high-end. Bluetooth connectivity is very good it can connect within the range of 30-35 feet. Once paired it takes 3-5 seconds to connect to your device.
I would like to thank snapdeal for delivering it 3 days before the delivery date.
I would recommend this product to anyone who is looking for good speakers at this price.",4
Sound and base is low.Overall sound and base is low. Packing is very good,3
"Good product.Nice,work proper",5
Sony remote.Very good product,5
nice product.nice product,5
Good performance.Good performance,5
Sony remote.Super cool nice,5
best product.nice service from snapdeal thank you,5
Wonderful.It is wonderful,5
Sony home theater remote.Good performance this product is good original feeling better,5
Rrmote.Ger products...grt service,5
Good product very nice work really.Nice products,5
Working perfectly on Ball 5.1 Home Theatre Speaker Full Wood multimedia Speaker without bluetooth.Bought it INR 256 and it is working fine for Ball 5.1 Home Theatre Speaker Full Wood multimedia Speaker without Bluetooth from last 1 week. It was one of the cheapest deal  among all online sites.,5
"Great product.Works well
Nice built quality",5
"Ok, यह प्रोडक्ट अच्छा है.Ok,ok ठीक है यह प्रोडक्ट",5
Good product.Good product n good service,5
"Acha hai.Good,,,but not better",3
Good warking I ball buster.Good warking I ball buster with not original remote local hai,3
Not suitable.Product are not working properly,1
"Buttons not working, poor quality.Not working with iball booster 5.1 without Bluetooth 
Only few buttons working. Disappointed",1
Not compitable with all iball home theater.Not compitable with all iball home theater,1
"Nice one.Make quality good, nice one",5
It is good...It is intex good,5
Good product.Remote received different one from what they are uploaded. but working fine.,5
Looks little different from the original once..Works perfectly..,5
Five Stars.Super marbalash,5
Four Stars.Good products,4
Good snap deal best quality.Nice and good,5
My koryo kht 3000 remote.Best service kht remote is not available in more  shops easily My kht remote is work properly thank you Snapdeal,5
5 Star.Thank u snapdeal,5
Excellent.Wonderful work. Very nice product,5
Product.Superb product... Thank you snapdeal,5
nice service.product surety,5
Snapdeal delivery very bad.Good Product But very late delivery,5
Veriy nic prodect.Veriy nic pradect i am happy nic dileveriy thunk u,5
Good seller.Best selling..,5
excellent match.its an excellent product. was searching for this for long..,5
"Good product.Nice,work proper",5
Sony remote.Very good product,5
nice product.nice product,5
Good performance.Good performance,5
Sony remote.Super cool nice,5
best product.nice service from snapdeal thank you,5
Wonderful.It is wonderful,5
Sony home theater remote.Good performance this product is good original feeling better,5
Rrmote.Ger products...grt service,5
Good product very nice work really.Nice products,5
Four Stars.Good products,4
working  goid.This product  good good price,5
Very Good.Very Good and Homely Feel,5
Sony home theatre remote.Working perfect,5
Best Remote.Good one does the job,5
Nice packing.Packing was excellent. Got earlier than expected.,5
Good comparable.It's perfect for my home theatre system.I don't found in market.,5
Sony home theatre remote.Great working,4
Superb finish.Just like an original product,5
Good remote.Superb remote works good,5
Sony remote.Good remote,5
Good quality.Superb quality  &  most helpful gadget,5
Goods.So nice super working,5
Amazing product.Works great without flaw,5
Awesome.Works well and also very cheap price,5
car bluetooth.good product.,5
Good product.Very nice product,5
"Good product.Very 
Good",5
Best usb.Good gadegt,5
Nice t.Thanks 13333,5
"Nice product.Nice product thank Snapdeal , good idea , nice voice receive. 4.5 star Deta hu. Easy to use.",5
"Sound quality is very bad and the sub starts cracking at volume 10 !! May be most of the reviews of this product are framed .. The subwoofer is a small 4 inch driver wih no base output, only low frequency noise.... I checked the product website and looks it to be a bogus one..

Request the potential buyers to stay away from this and look for different options. Unfortunately I bought this and there is no return policy ..

Definitely this is not a 80 watt amplifier ...",1
"Your browser does not support HTML5 video.
 After playing some of my favorite songs, I must say...In this price range this speaker is a very good deal. Very stable and balanced sound output with no distortion even on higher volume side.

You can control song and volume from the remote, you can also control it from your mobile when connected on Bluetooth and it’s a very good feature.

Elevn aura remembers last song played from USB even after power failure which is very smart. It’s remote control is much responsive.

FM feature is very good when you are out of song options and choices, sound is very pleasant.

Overall very good deal from a new brand. Waiting for more products from brand elevn.",5
"Look so nice,Superb speakers,Nice audio quality, bought in 2499/-in republic day sale,Thanks elevn.",5
"Your browser does not support HTML5 video.
 One of the best speaker brought at low budget really happy at the performance of the speaker compare with any other product that I brought previous year.
Sound quality awsome....best is at good shape",5
"Your browser does not support HTML5 video.
 We were using Sony Soundbar in our 55inches TV, when we saw aura 80W 2.1 speaker we decided to order it. When we connected it with the TV, trust that the sound, bass and overall sound aura was as good as before. Shifted the Soundbar to the other room and using aura with the TV now. Watching movies are more fun and cinematic now. YouTube videos are sounding even better now, enjoying the music drop. So far so good. Happy with elevn aura speakers.",5
"Bought this 2.1 speaker for my office, got it in a very good deal; great price. Size is perfect for our office. Bass & Treble is just great. Connecting Bluetooth is hassle-free, connects in one click. My suggestion is to adjust the equaliser as per your song choices and you’ll thank to elevn aura for amazing music experience.

You can use your Pen drive too as there is an USB slot. You will love the FM, it’s very good.",5
Dear Friends I'm Order Booked On 6th Feb & Received Day Before Yesterday Presently I'm Using At My Home Sound Quality Is Excellent Value For Money Based On Reviews I'm Order Booked & If You're Planning To Buy You Can.,5
"Sound quality is excellent for bass lovers. Home is vibrating like earth quake with full bass, VL 25 and TV equaliser tuned to sub woofer with wonderful performance. Bluetooth and FM is very high volume. So I have to reduce volume for that. All through remote control only. Little bit high cost, so waited for lightening deal and bought for 2999 rs.",5
"Sound quality ⭐⭐⭐⭐⭐
Remote control with forward and backward ⭐⭐⭐⭐⭐
Value for money with 80 Watts !!⭐⭐⭐⭐⭐",5
"Speakers are really good ,music quality,connectivity,everything is good.

Specially FM quality is really good.

Only con I see is volume is preset to very high which will very loud whenever I turn on later need to lower the volume.",5
"Exlent bass,and sound quality very very very superb ,remote control exlent , 5.0 Bluetooth conectivity was very exlent fully satisfied this price thanks to Amazon
My rating 5 out of 5",5
"TBH, I had not heard about ""elevn"". I happened to find it while I was casually browsing through Amazon. I simply ordered it in a hunch and partly because of the buyers reviews in Amazon. Speaker quality is amazing! I'm totally satisfied with the product and highly recommend to anyone looking for a good audio experience. You won't be disappointed.",5
Value for money,5
"Product was delivered good way. Easy to configure and sound quality is very good. I am loving it. I am using for song, playstation and movie. You can also use the USB drive or SD card for content.",5
Best product under this price. You have to set bass between minus 3 to minus4 and treble between plus 6 or plus7 for getting the best output . Everything good except that it is not high definition! Those who want high definition sound like the sound from Sony it may not satisfy you.. Thanks elevn for the great experimental product,5
FM reception absolutely poor. The antennae wire is non functional. Sound quality is pathetic when tuned to FM. Overall sound quality with blue tooth and other devices is average. I would call the product over-rated when I compare the prices.,2
"Amazing sound quality, best in class body and great look and feel. We are more than grateful to Amazon listing a product like this and best of luck to elevn for their future products",5
Speakes is good but remote control is not function properly. Is it possible to replace the remote only?,4
"Awesome home theatre quality. Really liking d product. Everything gud. Loud sound,bass,treble everything gud.",5
It's not expected sound. Only for 10×12 room. It's not really 80W,2
"Speaker very powerful in this category
Subwoofer quality-normal",5
"Sound Quality is Good in Bluetooth and Aux.
But, it's lacking advanced connectivity options (HDMI-ARC, Optical, etc)",4
Good to have a full function remote. overall good sound and good value,5
"Your browser does not support HTML5 video.
 Hey you there stop scrolling, this is enough for you to explain....NO second thought just go ahead and buy this ....this product is not of local brand neither chinese cheap its US brand and and damn music output is just more then expected specially for bass lover trust me it will shake you heart. Its quite okay for a double room when you turn on it to full valume max it can irritate neighbors around you.
I would highly recommend you this coZ i swear you wont regret it rather then gettong a cheap local and chinese brand.",5
"Your browser does not support HTML5 video.
 The Only issue with speaker is, when I had connected to my laptop, I had change the sound settings as per my taste. And Increased the speaker volume from 11 towards above. Once its above 16 you will feal lack of bass and as of the sub woofer is spoiled. But this happens when its beyond the capibilty of the subwoofer. When connected to phone via bluetooth or aux I had no issue even at the volume 30.

For the price this product is worth it. Never expected a bass from this less price. However the bass has some resound within the subwoofer but looking at the price ots tottal6worth it.

In the video, there is a sound bar. Its not from Elven.

I have seen some negative reviews and was worried about the product. But the negative reviews are for the faulty products received to various customers.

So conclusion. For the price, the speakers are totaly worth it. Zebronics, Philips is not at all good infront of this. (5.1 and 4.1) You can go for Elevn.

If looking for premium bass and sound quality you wont get any speakers (Branded) under 4,000.",4
Superb audio quality,5
