Reviews,Ratings
I M Happy.It's very nice and it is good quality products,5
Super.Goog qualite,5
Fantastic.Super fabulous products,5
Good Product.Timely delivered. And good material.,5
About printer cover.Perfect ND good quality product,5
Good quality.Good quality,5
Nice product.Product is very nice.,5
Nice Product.Nice Product in that range,5
Printer cover.Product was very nice but still the product description can be better,4
Quality.Good product,4
Great service..This one is not soo much popular model of Ricoh Series.. Ricoh SP210SU is much popular than this Sp111SU.. According to my needs I ordered this one..  read more,5
Awesome product.not good product.driver is not install.and print slow.and cartiradge not full.,5
3 in one on lowest price.Great service guys. Keep it up,5
"Good product.Awesome printer with all basic functions. 
Best for home use and small shops.",5
"Good service.Good product 
Lowest cost",5
value for money.Good product,5
excellent multifunction printer.Nice product easy to use,5
"Very good printer.This printer has 3 function, work performance very fast ideal for personal or business purpose,  easy function..",5
"Snap deal is great.I have been using this printer for more than a week. I would like to thank snapdeal for the prompt delivery and excellent packing. It came in perfect condition. The Ricoh Sp111SU is a useful and  perfect product. The size is good and fits almost any space and the operation is silent and like a breeze!. The functionality of the product has been really smooth and outstanding till now. It is userfriendly and easy to install and operate. All the functions like Copy ,Print and Scan have been working well and I found this to be a very helpful and effective product. Got it for under 5k in a snapdeal sale recently and I am quite satisfied for its value for money ! Highly recommend to any one looking for a good MFD for home or small office use !",5
Good printer at low price.This printer is very good and work very well.... Jam free.....,5
"Due to courier problem cannot received the upgrade model 210,sorry to cancelled .purchased 111 su.is.This one is not soo much popular model of Ricoh Series.. Ricoh SP210SU is much popular than this Sp111SU.. According to my needs I ordered this one..  read more",5
About the printer.not good product.driver is not install.and print slow.and cartiradge not full.,5
Smooth and Reliable.Good printer.want customer support to install the driver,5
very best product. ...Good printer.,5
