Reviews,Ratings
"Compact and user friendly, price could have been a bit lesser.Compact and user friendly, compartment for cards.. Aadhar, Voter, passport etc should be there with durable material.",5
Lollipop it is..Product is excellent and the other side of the product,4
Good product  but handle too Short.Nbox mini pocket tripod handle size could have been bigger by 2 to 3 cm could have been better for grip as such the build quality is good and looks d  read more,3
thanushkumar.i love it..,5
Good quality.Quality of the product is good and usable product...,5
Quality.Good quality,4
Holding mobile.Okay but clamping to hold mobile is too hard and cushioning to have better.,4
Tripod.Nice one.. Good product to use,4
Nice product as its cost.Good as its cost,4
"Mini tripod.Useful,economical,",4
"Good product in this price..This is a good and a small tripod only for smartphones. Tripod and a mount. When legs fully opened, it is around 7 inch. When closed it is around 5 inch. Legs have lock options so even if by mistake, it won't loose or fall. But centre part has no big support. Still it is great for mobile",4
Digitek DRL product is best.Bahut acha lgaa product,5
Good quality.Good product.,5
Original and great product.Product is original.. Packaging is good... Delivery on time...,5
Excellent.Iam really satisfied with your entire service...thank you,5
Mast hai par jabardast hai.No comment,5
Worst.Poor quality,1
Long Lasting.Very good battery life,5
Good and useful.Working well,4
Good product very much and have product.Mast mast deerl,4
Good Quality.Best rechargeable cell with good backup.,4
Highly satisfied.Highly satisfied,5
tripod.Not good use product,5
Rotating holder.The holder too short so that you can keep phone in vertical mode.. You can keep phone in horizontal mode,2
pvc is working my magicard.Finally I will be got good pvc card exactly work my machine magicard but One think defected. I can not explain next time. delivery boy is good response and dedicated his work Soo I'm happy,4
Nice............Nice Excellent,5
1st time received with out memory card and pouch. Replaced it but next time received same. Now I want to completely return it because in q&a section answered that 32gb memory card and pouch free.,1
"I love it. Haven't had any issues with it yet. Pictures and videos are clear and sharp. Unlike some of the reviews I've seen on YouTube for the G7, stabilization is good and light gathering abilities of the kit lens not so bad. I'm using it for professional documentary film making and so far, I've had no complaints yet.",5
I'm quite happy with this purchase. The price has now been pitched at an affordable level. Real value for money.,5
"Pros - Nice product from every aspects.
Cons - Should come with camera bag and memory card.",5
"See the condition of package. The pictures will speak a lot. We had paid for the new camera not for a used or refurbished one. There was no user manual or related documents inside the box.

Update - next day we received replacement which looks new with all documents.",1
"NO WORDS TO EXPRESS....ABSOLUTELY WORTH FOR A SINGLE PENNY...I LOVE IT...GRAET CAMARA WITH SUPERB FEATURES.
THIS IS CAMARA IS PREDOMINANTLY FOR BEGINNERS LIKE YOUTUBE VLOGERS AND SO ON.
EASY TO CARRY AND STYLE ENOUGH.
GO FOR IT.
THANKS.",5
"This is my first camera. I ordered this because of I am creating content for YouTube and I need 4k camera in low budget.

So this camera comes with huge features in it.

Pros-
1. Very lightweight
2. 4k support
3. Wifi support
4. Tilted touch screen

Cons-
1. Battery life is about 1.5 hour in video
2. Image quality is ok with its kit lens as this camera have 16mp only",5
"I was about to purchase a Nikon DSLR but an influential devil told me to go for the g7 for its 4k video abilities. I'm glad I did. Kudos to the seller n amazon! It's power pack...
Need more time to dive deeper. Cheers!",5
"This is a great camera. It's a small form factor and I absolutely love how light it is and the pictures it takes just out of the box are amazing. However, the USB data cable that comes with it is Panasonic proprietary cable. Understandably this camera came out in 2015 so back then USB-C wasn't as common... so we're stuck with this weird cable that if you lose, the likelihood of easily finding another is so less. I lost mine and I am stuck unable to transfer pictures to my laptop from this... the SD card reader in my laptop is busted and until I buy a new (USB) one of those, I can't transfer pictures. Am I dumb? Yes. But is this camera also dumb? Totally.",4
"Actually this camera is best in competeting and also in solo wise😄😄,,especially picture quALLITY is damn great ,untill you know how to use the aperture and ISO OR ELSE many as mentioned it as mobile camera because they don't know how to take the pi that's the exact answer to them,overall it's really a great and damn awesome mirrorless camera and also if it's paired with 45-150mm lens you will get a cine feel pics",5
"Your browser does not support HTML5 video.
 The first photos that you are seeing are taken with the camera and with 14-42mm kit lens.......
This camera is definitely a very good camera for beginners....
This camera also performs good in low light even with kit lens
You need to bump up iso to 6400
A little noise can come
But that's not a big issue as u can fix that in post processing or in editing software
Also the battery backup is pretty good
As it last around a day with full charge and it takes 3hrs to charge

To get the most out of this camera
Use the following settings
Back dial- for exposure
Shutter dial- for respective control in the mode(like aperture in A or shutter in S)

Then use F1 button for auto focus
As it can come handy while using manual focus

Use F3 for digital zoom

And you can use the HYDN mode in bright sunlight as it has wider dynamic range and in some cases better skin tones (sometimes the skintones look worse)

I mostly use A for photography
And A in manual movie mode also,
Some photos of my settings are also attached.....",5
"Better for Video Shooting, Budgetwise better 4K Camera.

If you choose photoshoot, go to Canon & Nikon",4
"Great Product.If anybody unable to register warranty online please enter dealer name as
Appario Retail Private Limited instead of Appario Retail Private Ltd then it will be shown in drop down menu.Then we will be able to register without any issues.I mailed this regarding Panasonic and Amazon and finally got a call from Panasonic executive and was able to register.Hope this will help all who are looking to purchase this great camera.",5
Picture quality is worst waste Mony😞 I will purchase this product January 02-01-2020 but I am not satisfied so I will be returned this product. But no accept my return request in Amazon costumer service worst,1
Cool product.. best value for money...,5
"The product is really good for beginners. i don't have any experience in photography. This is my 1st digital camera so that I really satisfied with this camera. The picture quality and the pixels are really great. Thanks you Panasonic for making the good experiences.

For the last one year I used this product till now no bad remarks. Every time I am wondering about the picture quality and the dynamic range when we look at the shoots :-)",5
"This is my review after 3 months.. its an awesome piece of gold.. has 4k.. good clarity, i am using this to shoot my youtube channel. Awome clarity, light weight easy to use.. need to set some manual picture grade.. only drawback is it doent have 120fps shooting.. remaining all superb. Must buy",5
"camera is fantastic in build quality and features. just buy one extra lens of 45-150mm if you need, thats it... you can rock !!!
drawback is the app. Image app, Panasonic pls consider, this spoils your product quality, very often disconnection and the UI of the app also boring, totally app is lazy. all we need is the app like DJI.",5
Everything is best at this Price n Value for Money But the Seller is not mentioning the Serial Number on the Invoice which is Critical n Important for warranty.. I spl to Amazon so they asked me to wait for 4 days.. Otherwise I will return this product without warranty.,5
Not met my expectations. Average Camera. No camera bag and memory card with the Package and You have to spend at least 2000 rupees to buy memory card and Camera bag. Auto Focus not works as mentioned. Average Quality. Not happy with the product.,1
"I have given 3 stars bcoz of the seller and amazon delivery. The seller sent the camera with its seal open twice which was very frustrating. But I didn’t return it second time bcoz the camera was fine. This camera has some nice features, you can use it for photography and videos both. Good camera for beginners.",3
"Poor quality pics and videos. We'll be getting better pics and videos by using some popular mobile handsets priced below 25k. Buying this camera, I lost my money.",2
"A great camera for filmmaking, I would not suggest this camera if you're into vlogging and all...there's a problem with autofocus its not that good...but yeah for filmmaking it's totally worth it because you don't need autofocus...manual focus is all what you need..",5
"This is possibly one of the best camera's out there if you are starting out with filmmaking. It is not preferred for Photography though, but for videography is works excellently. It has all the features you need to start off.",5
Yes. This mirrorless digital camera is loaded with almost all features which any professional level camera can have. For hobbits it's a complete course to study all features.At this price and features no other brand camera is available at present. Videography and portraits quality is beyond imagination.,5
"Autofocus is average but picture quality and video quality is best, best for creators",5
"Still one of the best cameras out there in the market both for beginners and professional users, has everything you need and is very handy too. The Lumix G7 from my side is straight up amazing. Great product to purchase!",5
"This camera is very awesome and first time I use a camera and this is that camera from Amazon orderedduring great Indian festival offer, received the package in 4 days. Awesome clairty I was fabulous seeing this and more options are there, need to check every option. But sad thing is didn't get a pouch and memory card, need to buy externally",5
"It's an excellent camera for beginners like me. The camera design is stunning with good grip. Image quality is excellent.
The only con is they should have provided a SD card and HDMI cable with it.",4
"This camera like a mobile camera.
Picture quality not good.mobile camera photography is better than lumix g7.lens not properly work.
Really waste of money don't buy..canon and Nikon is best.",1
Camera with excellent built quality and loaded with too many features. The picture quality is superb.,5
Value for money,5
"Panasonic likod g7 good camara,edi vedio ki challa bagundi super product low budget lo,photos are asome",5
"Awesome product for beginners. Picture quality (4k) is nice.
Budget friendly. Purchased this product on Amazon great Indian sale at 30k.",5
Best Budget 4k camera.,4
Good for beginners and best for live streaming,4
"Overall it's a good deal
To sum it all up best , cheap 4k camera money can buy",4
I like the convenience of handling,4
Excellent buy... Both photos and HD videos... Reasonably priced,5
I buy for my YT videos !! Yeah it’s good camera but I buy SD card separate !! Package is superb good,5
I thought that this camera has good video quality but in this price point pictures and videos are so awesome. I love this product and this is very useful for me.!,5
"Picture quality is very good, very light weight. Battery backup is good 1 ½ hour video recording at 4k which is impressive. No excessive over heating.",5
Prime customer 3 percentage will be not given to me,1
"It's a quite handy mirrorless camera with amazing 4K quality stable images and Video
Post focus option is like a power to this beast.",5
"I have purchased this camera but Warranty card is not filled by seller.
Please help me.
Camera quality is good and at this price it's a steal.",4
Worth for the each penny!!!,5
I found dead pixel on screen of camera. I just recieved it today and found it.. camera is gud but Amazon sent me defective one.,1
Nice cam. Thay don't provide any memory card or bag with cam. Have to review after few days of usage.,4
"Compact, fun and easy to use can still give the competition run for its money",5
👌,5
The perfect budget mirrorless 4k cam out there,5
"Low budget in excellent product.
4k video recording",5
Value for money❤️❤️,4
Good for beginners,5
Good for the money you're paying,5
Like it,5
good product in low price,5
Worst priduct...dont buy it.... Bakwas,1
Worst video quality,2
Very good camera has a lot of features,5
Great for beginner ❤️,4
,5
Quality,5
its nice deal😊🥞,3
