Reviews,Ratings
Terabyte.Good product,4
Genuine product.It was for my Inspiron 3521 laptop. It is working fine. Original product. I checked with Dell showroom. Battery backup is upto 3 to 5 hours depending on usage. Charging time is upto 3 hours what I observed.,4
Awesome back up.Packaging was good and back-up is far better.,5
Dell laptop battery.Nice product worth buying it,5
cheap and best.perfect fit in my laptop (vostro 1550) with a decent backup of 3 hr.,5
"Genuine item, Good performance....Battery is genuine and giving 3.5 to 04 hours backup on mild use, no issue found after 02 weeks experience.",5
Working pefectly fine..Received well on time and working like the one came with laptop.,5
"I like snapdeel.Product,packing,and delivery very nice",5
Delivery as per words.Timely and Quality Delivery....Snapdeal Keep It Up,5
"best you can get.awsome packaging,awsome deleivery,awsome and genuine product,buy here for the best price
recevied just in 2 days",5
100% PERFECT AS DESCRIBED !.BATTERY TYPE J1KND. FOR  INSPIRON 15R N5050. USING SINCE 2 DAYS. GIVING BACKUP SAME LIKE TO ORIGINAL BATTERY RECEIVED WITH THE LAPTOP. OFCOURSE  IT WILL WORK SAME AS THIS IS 100% ORIGINAL DELL BATTERY,5
good back up.its too good in this price,5
Good item.Fits perfect i do not have to worry about water spilling over the keyboard,5
Perfect fit for my keyboard.Perfect fit for my keyboard,5
"Amazing product.Fits perfectly on my laptop keyboard keeps dust away. Its also waterproof so no more worrying about liquid spillage. Clear skin cover also makes keys easily visible

Love the product and would recommend it to anyone.",5
Adafter.Good product,5
Five Stars.It's just awesome,5
Singh.Good prodak is very charjar,5
Authentic.Price is also good,5
Genuine product.I recommend this to everyone,5
Awesome Product.The seller gave me the Original Dell Charger along with Power Cord.,5
good charger.original Dell Charger,5
dell adapter.it is authentic,5
"Best original dell product for such good price.Good product for good price, no issues so far",5
Very good p.Good very good,5
Thanks.Verry  good,5
Very Good HDMI to AV.I like this Product.,5
A good product.Very useful,5
"Great Product.Finally by connecting this, now i'm able to connect my fire stick to my benq dlp projector.",5
Fast delivery good packing..Good quality,4
Good quality.Good quality. .t.k.minj.,4
Quality.Nice product but getting heated very soon..,3
Very nice.Work a chacorta hey,5
Hako Dell Inspiron N5050 Laptop keyboard.It was delivered as per the date shown during ordering...,5
"Lap top Keyboard.i had ordered lap top key board for my dell n5050 i had a surprise comming the delevery came with in 2 days and my computer was up with in 2 days
realy very good",5
Good Delivery.I am impressed,5
laptop keyboard.it was nice. working supub. nice product.,5
okkk gooodd.It is good wrking well................................,5
Perfect. It doesn't get any better.I am using Dell inspiron 5520 with RAM 2GB which was definitely insuficient so i ordered Transcend SO 4GB DDR3 RAM from snapdeal . The delivery time was very less and my product is very much satisfying . After installing 4 GB RAM in my Laptop it is working smoothly.,5
Great Product Great Delivery.Got delivered in 3 days.Ram is just fine and works perfectly.Great deal!,5
"really Good product for good price.i have bought it for my Dell XPS laptop and it sits perfect in the slot. There has been no problem till now and as per the product and delivery, Snapdeal is doing a really great job.
Overall i am very happy with the service and product.",5
Good Laptop Ram !.Compatible for Laptop(DDR3). and very fast speed.,5
"Transcend SO 4GB DDR3 RAM.Good product, wish it were a little cheaper though. used it to upgrade my dell inspiron laptop, works fine.",5
perfect.perfect,5
"A good choice for DDR3 RAM for notebooks..Upgraded my 2GB laptop to 6GB using this.

Works perfectly, didn't encounter a single issue. Just popped it in and booted up and the new RAM was detected without a hitch. 

No more lag. Can do heavy multitasking now.",5
"Got 1600 MHz instead of 1333 MHz.Great product, the product description says 1333 MHz RAM but I got 1600 MHz one. Nevertheless, my laptop (Dell XPS L502X) toned the RAM down to 1333 to sync it with the older 4GB. Now I am having good 8GB and performance has indeed improved (Not much as I already had 6GB RAM)",5
Value for money RAM.Been using many of these RAMs for sometime now and works perfectly and reasonably priced.,5
Perfect. It doesn't get any better.Great product. No compatibility issues with my SVE15129CNB.,5
Worth the money.Works as expected. Looks rugged.,4
"Hynix Laptop Ram.I have started using this ram in my laptop a week ago and it is working efficiently....
 Initially ,it took some time to get synchronised with my another preloaded Elpida Ram of 1066 MHz . Now ,I am able to use heavy applications smoothly.....Thanks to the snapdeal for providing this product cheaper than the other sites like flipkart,amazon etc...",5
"Not for performance purpose..Though it has 1333Mhz freq overall but core frequencies are low and that's why it doesn't performs like a real 1333Mhz  RAM,not good for gaming or performance enhancement of PC.But can be used if you want to increase speed in general tasks or want smooth multitasking.Afterall its Hynix and u can trust it.",3
Perfect RAMstick.easy to configure in inspiron n5010. and good speed,5
"Perfect & Good One Product for my Lenovo G580.There is no notable speed improvement after installing RAM, It's an OK product.",5
Crucial is crucial for upgrading.Perfect ramstick in affordable price. Dont think too much just buy it.,5
"Crucial is an excellent memory manufacturer.A good product. 
Delivery was on time
The ram is absolutely amazing.

Thanks to Snapdeal and the seller for their excellent service !",5
Awesome product for my Lenovo G580.Go Crucial... System is real fast now....,5
"Awesome product.Crucial is one of the top brands in terms of RAM and SSD (basically all NAND flash) right there with Samsung.
Note the voltage is 1.35 V. But all 1.35V RAM are dual voltage. It will work with those old laptops that have 1.5V RAM installed as well!
When it comes to RAM, trust Hynix, Samsung, Crucial to the max. Transcend and kingston should be No 2. And ADATA, Dolgix etc should be avoided.

I bought it for my QNAP 251 network storage.",5
"Good product....A good product. 
Delivery was on time
The ram is absolutely amazing.

Thanks to Snapdeal and the seller for their excellent service !",5
