Reviews,Ratings
Great Deal.Its nice glucose monitor i already used it and know i order 2nd time for my uncle,5
Very good.Glucometer and test strips is good. but Case is poor quality. so totally Average.,5
Very good.Good Product.... earliest delivery 😊Thkuuuuu snapdeal 🙏💪,5
Good product.Very good service,5
Very good item.very Very good,5
Perfect.Best value for money,5
Nice value for money products.Very good item,5
Glucometer.Amazing ....at very low price.,5
Excellent service and product.Nice best no1,5
"Thank you snapdeal.Nice experince, from booking to delevery date, your follow up was very nice.",5
It is very good quality.Its nice glucose monitor i already used it and know i order 2nd time for my uncle,5
Good Glucometer.Glucometer and test strips is good. but Case is poor quality. so totally Average.,5
Dr morepen Glucometer.Accurate measurement,5
Best product.Good Glucometer,5
"Not satisfied.Its a good product that i can measure blood sugar level exactly,",5
Super.Hi this product is a very useful very nice,5
Hello.But it's not working properly after some days,4
Good quality and timely delivery.Its nice glucose monitor i already used it and know i order 2nd time for my uncle,4
Worthy purchase.Still no check before I lot of things in order all is beautiful very much thanks,4
Glucometer.Good quality and economical compared to market,4
Good one.Its nice glucose monitor i already used it and know i order 2nd time for my uncle,4
Good product.Glucometer and test strips is good. but Case is poor quality. so totally Average.,4
Review of glucometer.Good one I am already using the same,4
K Srinivasa Reddy.Good product low price,3
You are best..You are best.,5
Genuine products.Out5.... 5 rating this product,5
Value for money.I found this offer very attractive and at 50% discount and with long expiry date. For those who use this on regular base suggest you grab this offer.,5
Genuine product.Standard Bayer Contour TS strips. Genuine one.,5
very good service by snapdeal.received the product before promised delivery date. The price is almost half compared to other sites. the actual expirydate is June 2021.,5
"Great Buy.Original, Best Quality, Well packed and timely delivery.
Exp. 05.2021",5
Delivery on time.Nice product,5
Excellent.Very excellent,5
Contour ts.Rate of price 200,4
Early delivery expected.Overall satisfactory,4
Nice & timely delivery.Timely delivery,4
Contour TS 100 strips.The product was in good condition but the size of the strips was small so I had asked for the replacement of the product or refund.,5
Pin sugar.Good quality,5
Five Stars.Good product,5
"Good product.Awsome product delevered.
 Must buy from snapdeal",5
Santusti.Nice pakagibg,5
Pin to Pen Blood Lancets 100 Needles.Product is as per expectaion,4
Excellent product.Exactly what i needed good quality and packing,5
Packaging.Poor packaging,4
PoorQuality.Poor packing. Inner packing opened,2
Works just good.Works just good as a low cost lancet,5
EmmEmm Painless Round Lancets Qty: 100.Product is good . Not yet used.,5
Average product.Product quality is not bad,4
Ok.          Ok.Ok.             Ok,4
"RAKESH NANDAN PRASAD.JUST GOOD, RECOMMENDED",3
Poor quality.Poor quality. The glass/acrylic came out. The side belt came out of hook due not pasted properly.,1
Best of best.Best of best,5
Great experience.Unbelievable lowest price.,5
Cheapest.Good product. Cheapest of all online sites,5
About Snapdeal.Really good sarvice provide from filfcart,5
Glucometer.It works fine,5
Review for dr morphene strips.Good product...fast delivery thanks for Snapdeal,5
i like your service it is very good.it is very great,5
3 years happiness..Using same product for past  3 years. Happy about products,5
Gud n cheap n best.Very gud product n cheap from retail market,5
"GOOD PRODUCT.GOOD PRODUCT AND FAST DELIVERY, GREAT",5
Snapdeal  service  is Good.Good  service snapdeal.,5
Dr morpin bg3.Good service..... Im very happy...,5
Fast delivery :).Great discount on a trusted brand with fast delivery what else you want 😉,5
Excellent Product.good quite cheaper..😊😊,5
Good good good.Good work and cheapest price here,4
Good product no problem with it.Good product just see expiry date before ordering.. as old are also available and new ones too..,4
Gluco test strips.Strips showing satisfactory results.,4
Very good.Delivery time may be reduced,4
Good testing.Good product,4
Good product.Go for it. But always check expiry,4
"Genuine Product.Genuine Product,  timely delivery",5
"Shown as error.Most of the strips shown as error, i think this one is not a best one.",4
More Pen Glucose Strips.Good purchase...Working fine..,4
good product.Reliable and satisfactory,4
GOID PRODUCT.GOOD PRODUCT,4
good one use full for sugar test purpuss.ok helpfull,4
Nice product.Good quality Proformance is very Good Good Working,5
Purchased this product.The reading is not in customer friendly unit,5
Good product.It is a very nice product.Result is good.,4
"Good choice.Good quality 
 Proformance is very Good 
Good Working",4
Very nice.Good product,4
BP monitor.Nice work for check up health,4
Product is good.Very usefully,3
Average.Electric connection not available,2
BP reading incorrect..Product is good but not chargeable..,1
Bp measurement.Measurement not accurate,1
Morepan UA BP monitor.Good quality Proformance is very Good Good Working,1
"Ya perfect.Doing good
Appreciated
Ive ordered third time",5
Attractive price.Thanks snapdeal,5
Best Deal.Excellent service in time,5
"Good and ok.Ecomic but poor service, delivery date got rescheduled twice...had to wait 2 more weeks than estimated",4
Omron BP Monitor.I am fully satisfied with this,5
"Good product.The other models also available at same price, but only issue if something goes wrong where do i send for repair or maintenance",4
A good buy.Nice product satisfied with it.,4
Nice product.Satisfied with the product,4
Omran BP Moniter.Good instrument but I'd suggest one to go for the higher version with a provision for charger,4
Descent product.Value for moneu,3
"Suggestion.You try to waive the shipping charges for regular buyers
Prof.Govindarajan",4
"good product...but little bit delay for delivery..Initially have a doubt on Exp date...but the product i received with long duration for Expiry .
But Taking time to reach us.",4
